time,open,high,low,close
1614556800,-1.12,-1.12,-1.12,-1.12
1617235200,-0.85,-0.85,-0.85,-0.85
1619827200,-0.73,-0.73,-0.73,-0.73
1622505600,-0.74,-0.74,-0.74,-0.74
1625097600,-0.8,-0.8,-0.8,-0.8
1627776000,-0.77,-0.77,-0.77,-0.77
1630454400,-0.82,-0.82,-0.82,-0.82
1633046400,-0.85,-0.85,-0.85,-0.85
1635724800,-0.96,-0.96,-0.96,-0.96
1638316800,-0.9,-0.9,-0.9,-0.9
1640995200,-0.71,-0.71,-0.71,-0.71
1643673600,-0.35,-0.35,-0.35,-0.35
1646092800,0.06,0.06,0.06,0.06
1648771200,0.41,0.41,0.41,0.41
1651363200,0.67,0.67,0.67,0.67
1654041600,0.92,0.92,0.92,0.92
1656633600,1.13,1.13,1.13,1.13
1659312000,1.37,1.37,1.37,1.37
1661990400,1.58,1.58,1.58,1.58
1664582400,1.84,1.84,1.84,1.84
1667260800,2.09,2.09,2.09,2.09
1669852800,2.12,2.12,2.12,2.12
1672531200,1.84,1.84,1.84,1.84
1675209600,1.25,1.25,1.25,1.25
1677628800,0.54,0.54,0.54,0.54
1680307200,-0.1,-0.1,-0.1,-0.1
1682899200,-0.54,-0.54,-0.54,-0.54
1685577600,-0.87,-0.87,-0.87,-0.87
1688169600,-1.11,-1.11,-1.11,-1.11
1690848000,-1.28,-1.28,-1.28,-1.28
1693526400,-1.45,-1.45,-1.45,-1.45
1696118400,-1.71,-1.71,-1.71,-1.71
1698796800,-1.95,-1.95,-1.95,-1.95
1701388800,-2.03,-2.03,-2.03,-2.03
1704067200,-1.84,-1.84,-1.84,-1.84
1706745600,-1.55,-1.55,-1.55,-1.55
1709251200,-1.23,-1.23,-1.23,-1.23
1711929600,-1.03,-1.03,-1.03,-1.03
1714521600,-0.91,-0.91,-0.91,-0.91
1717200000,-0.77,-0.77,-0.77,-0.77
1719792000,-0.53,-0.53,-0.53,-0.53
1722470400,-0.37,-0.37,-0.37,-0.37
1725148800,-0.41,-0.41,-0.41,-0.41
1727740800,-0.61,-0.61,-0.61,-0.61
1730419200,-0.75,-0.75,-0.75,-0.75
1733011200,-0.64,-0.64,-0.64,-0.64
1735689600,-0.54,-0.54,-0.54,-0.54
1738368000,-0.57,-0.57,-0.57,-0.57
1740787200,-0.65,-0.65,-0.65,-0.65
